epoch,accuracy,loss,val_accuracy,val_loss
0,0.6557777523994446,1.1441128253936768,0.7229999899864197,0.8881467580795288
1,0.7245333194732666,0.8838710188865662,0.7355999946594238,0.8455407023429871
2,0.7397555708885193,0.8319915533065796,0.7419999837875366,0.8337400555610657
3,0.7465111017227173,0.8085852265357971,0.7465999722480774,0.8322952389717102
4,0.7482666373252869,0.7950869798660278,0.7426000237464905,0.8330257534980774
5,0.7518888711929321,0.7840395569801331,0.7462000250816345,0.8312552571296692
6,0.7505778074264526,0.7858560085296631,0.743399977684021,0.833685040473938
7,0.7535777688026428,0.7774888277053833,0.7450000047683716,0.8342623114585876
8,0.7532666921615601,0.7738683223724365,0.7487999796867371,0.8354166150093079
9,0.7537111043930054,0.7711979746818542,0.7459999918937683,0.8398824334144592
